experiment_group,dataset,model,method,seed,reason
main_matrix,cifar100,resnet18,cosine,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,cosine,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,cosine,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,plateau,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,plateau,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,plateau,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,plateau,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,plateau,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,reliability_val_loss_only,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet18,reliability_val_loss_only,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet18,reliability_val_loss_only,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet18,reliability_val_loss_only,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet18,reliability_val_loss_only,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet18,reliability,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,reliability,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,reliability,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,reliability,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet18,reliability,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,step,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,step,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,step,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,step,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,step,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,cosine,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,cosine,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,cosine,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,cosine,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,cosine,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,plateau,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,plateau,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,plateau,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,plateau,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,plateau,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,reliability_val_loss_only,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,reliability_val_loss_only,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,reliability_val_loss_only,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,reliability_val_loss_only,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,reliability_val_loss_only,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,reliability,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,reliability,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,reliability,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,resnet50,reliability,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,resnet50,reliability,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,step,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,step,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,step,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,step,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,step,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,cosine,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,cosine,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,cosine,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,cosine,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,cosine,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,plateau,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,plateau,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,plateau,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,plateau,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,plateau,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,reliability_val_loss_only,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,reliability_val_loss_only,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,reliability_val_loss_only,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,reliability_val_loss_only,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,reliability_val_loss_only,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,reliability,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,reliability,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,reliability,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,resnet50,reliability,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,resnet50,reliability,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,step,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,step,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,step,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,step,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,step,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,cosine,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,cosine,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,cosine,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,cosine,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,cosine,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,plateau,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,plateau,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,plateau,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,plateau,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,plateau,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,reliability_val_loss_only,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,reliability_val_loss_only,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,reliability_val_loss_only,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,reliability_val_loss_only,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,reliability_val_loss_only,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,reliability,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,reliability,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,reliability,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar10,vgg16,reliability,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar10,vgg16,reliability,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,step,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,step,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,step,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,step,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,step,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,cosine,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,cosine,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,cosine,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,cosine,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,cosine,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,plateau,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,plateau,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,plateau,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,plateau,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,plateau,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,reliability_val_loss_only,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,reliability_val_loss_only,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,reliability_val_loss_only,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,reliability_val_loss_only,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,reliability_val_loss_only,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,reliability,1,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,reliability,2,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,reliability,3,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (historical artifacts complete)."
main_matrix,cifar100,vgg16,reliability,4,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
main_matrix,cifar100,vgg16,reliability,5,"Invalidated by corrected protocol: historical validation inherited random training augmentation, and the shared reliability counter made reliability-based stopping unreachable (no completed historical run)."
